iata,n_flights,delay_rate,avg_delay,cancel_rate,avg_distance,name,lat,lon,cluster,anomalie
JAC,5625,0.22690909090909092,15.864545454545455,0.015111111111111112,741.6903111111111,Jackson Hole Airport,43.6072998046875,-110.73799896240234,2,0
GSO,11951,0.17707179967634784,4.4139340771654885,0.01606560120492009,426.8330683624801,Piedmont Triad International Airport,36.097801208496094,-79.93730163574219,0,0
CAE,6817,0.18240215118016134,5.625186734389005,0.015549361889394162,387.77937509168254,Columbia Metropolitan Airport,33.93880081176758,-81.11949920654297,0,0
PWM,11674,0.18486657303370788,6.810568820224719,0.02158643138598595,562.7658043515504,Portland International Jetport Airport,43.64619827,-70.30930328,0,0
DAY,7640,0.15978217558772745,2.7542834373754816,0.012041884816753926,515.0370418848167,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,0,0
AZA,5884,0.13866483610777416,-0.957611120645272,0.007138001359619306,1059.8557104010877,Phoenix-Mesa-Gateway Airport,33.30780029,-111.6549988,1,0
ATW,6259,0.20932507336159112,10.712748614281056,0.0183735420993769,541.7208819300208,Appleton International Airport,44.258098602299995,-88.5190963745,0,0
CHS,25694,0.1849016185337988,6.810417327832434,0.016774344204872733,603.7209854440725,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,0,0
JAX,30218,0.19563312891704293,8.350697486353528,0.015520550665166458,676.2378714673373,Jacksonville International Airport,30.49410057067871,-81.68789672851562,0,0
TUL,17155,0.16043411584286893,4.050784475639967,0.009967939376275138,603.9948120081609,Tulsa International Airport,36.19839859008789,-95.88809967041016,1,0
MCI,49869,0.17403949803730145,4.430146236296703,0.011851049750345906,789.3072850869278,Kansas City International Airport,39.2976,-94.713898,1,0
EWR,128979,0.22332334088082406,6.432885799024142,0.025197900433403888,1106.3760767256686,Newark Liberty International Airport,40.692501068115234,-74.168701171875,3,0
BDL,22302,0.1966645402351226,5.913514991342386,0.013451708366962604,828.715810241234,Bradley International Airport,41.9388999939,-72.68319702149999,0,0
MSY,50173,0.21480250491457756,9.020063636179398,0.014450002989655791,790.6451876507285,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,0,0
AUS,85344,0.2169735218752966,9.236286419284426,0.010088582677165354,937.1977409073866,Austin Bergstrom International Airport,30.194499969482422,-97.6698989868164,3,0
PDX,59584,0.17009027422926248,4.022960313404871,0.012671186895810956,1063.2577201933404,Portland International Airport,45.58869934,-122.5979996,1,0
MSP,126779,0.1892872811390739,4.043018386311969,0.008850046143288715,818.0005600296579,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,3,0
SJC,50392,0.15290727920284924,1.0895393973348273,0.006727258294967455,742.5848150500079,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,1,0
FSD,7033,0.19795271049596308,6.362456747404845,0.012796815014929618,591.2846580406655,Joe Foss Field Airport,43.582000732400004,-96.741897583,0,0
FLL,91890,0.2673405754485636,12.335027352115489,0.01631298291435412,1049.6028185874416,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,2,0
BTV,8122,0.17854444724250818,4.508058423570889,0.020068948534843634,502.5701797586801,Burlington International Airport,44.471900939899996,-73.15329742429999,0,0
BOI,22859,0.16433042405007495,2.9826324605483556,0.005905770156174811,619.742158449626,Boise Air Terminal/Gowen Field,43.5644,-116.223,1,0
HPN,12332,0.19942004971002486,7.186826843413422,0.017109957833279274,776.9906746675316,Westchester County Airport,41.06700134277344,-73.70760345458984,0,0
MDW,79633,0.22247706422018348,6.238455657492355,0.011678575464945436,835.8723142415832,Chicago Midway International Airport,41.785999,-87.752403,3,0
SGF,9280,0.22230718811448547,12.45695870657636,0.01163793103448276,543.5793103448276,Springfield Branson National Airport,37.24570084,-93.38860321,0,0
ITO,6757,0.11184112289084665,1.4657309242944603,0.008879680331508065,211.43066449607815,Hilo International Airport,19.721399307250977,-155.04800415039062,1,1
